issue,draw_time,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
115000197,2026/01/01,4,10,16,20,23,32,33,35,42,43,47,49,50,52,54,57,58,74,78,79
115000198,2026/01/01,7,16,22,24,30,37,40,44,47,49,50,52,53,56,59,60,62,64,68,79
115000199,2026/01/01,1,3,5,6,21,22,24,29,33,45,46,48,50,53,62,63,64,65,67,70
115000200,2026/01/01,1,7,15,16,19,21,27,28,32,36,41,44,45,49,53,60,71,72,73,75
115000201,2026/01/01,1,4,8,10,19,25,26,33,36,37,38,42,43,46,50,55,56,65,70,78
115000202,2026/01/01,2,3,7,11,16,23,26,29,30,31,36,46,49,52,55,62,69,74,77,78
115000203,2026/01/01,1,6,7,11,14,20,22,28,34,47,49,50,52,55,56,59,66,69,71,75
115000204,2026/01/02,2,5,8,16,23,40,41,47,50,51,54,55,58,62,65,66,67,69,71,73
115000205,2026/01/02,4,8,13,14,16,20,23,27,33,35,41,44,45,57,62,63,70,75,79,80
115000206,2026/01/02,5,8,9,11,21,22,24,25,30,34,43,45,53,54,58,61,67,72,75,80
115000207,2026/01/02,2,3,5,13,14,16,20,25,27,30,31,33,36,39,43,46,56,57,65,69
115000208,2026/01/02,2,4,10,15,16,19,24,26,28,35,43,45,46,53,57,60,65,70,74,78
115000209,2026/01/02,5,9,10,14,23,27,30,36,37,41,48,49,51,56,57,59,64,66,69,76
115000210,2026/01/02,3,19,21,24,30,35,37,41,42,45,49,51,57,61,63,65,68,70,73,77
115000211,2026/01/02,4,8,9,14,16,18,20,23,24,41,42,47,48,49,59,61,62,63,72,80
115000212,2026/01/02,10,12,13,14,19,20,32,34,36,38,41,50,51,54,57,64,69,71,76,77
115000213,2026/01/02,3,5,10,21,30,31,37,39,40,44,45,46,47,54,59,60,71,73,79,80
115000214,2026/01/02,4,15,18,21,27,28,31,34,42,46,47,50,52,53,56,60,62,67,69,77
115000215,2026/01/02,8,11,13,20,30,31,33,35,37,45,51,54,57,60,62,64,69,74,76,77
115000216,2026/01/02,1,9,10,12,13,16,17,20,29,34,44,45,52,61,63,65,66,72,74,75
