scheme,board_id,size_class,mask_ratio,mask_idx,target_number,rank,top1,top3,top5,top10,active_module_count_mean,abstain_rate,no_informative_modules_rate,score_std,final_score_std
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,54,13,0,0,0,0,8.958333333333334,0.0,0.0,0.06090649347912981,0.06090649347912981
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,54,12,0,0,0,0,9.333333333333334,0.0,0.0,0.05570488839807527,0.05570488839807527
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,58,22,0,0,0,0,9.041666666666666,0.0,0.0,0.06543833697899698,0.06543833697899698
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,58,21,0,0,0,0,4.75,0.5289256198347108,0.0,0.05500417095388122,0.05500417095388122
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,58,12,0,0,0,0,2.1666666666666665,0.7851239669421488,0.0,0.06467542778009899,0.06467542778009899
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,58,16,0,0,0,0,1.75,0.8264462809917356,0.0,0.05957877368399035,0.05957877368399035
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,58,21,0,0,0,0,9.041666666666666,0.0,0.0,0.06977695499508091,0.06977695499508091
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,58,22,0,0,0,0,9.458333333333334,0.0,0.0,0.06543833697899698,0.06543833697899698
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,63,11,0,0,0,0,9.166666666666666,0.0,0.0,0.06367054590708336,0.06367054590708336
hard_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,63,17,0,0,0,0,4.5,0.5591836734693878,0.0,0.0547466322597007,0.0547466322597007
hard_gate_055,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,63,11,0,0,0,0,2.2916666666666665,0.7755102040816326,0.0,0.06793470482659032,0.06793470482659032
hard_gate_060,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,63,17,0,0,0,0,1.8333333333333333,0.8204081632653061,0.0,0.06193891635682218,0.06193891635682218
soft_gate_050,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,63,11,0,0,0,0,9.166666666666666,0.0,0.0,0.059762430107888946,0.059762430107888946
centered_weighted_sum,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,63,11,0,0,0,0,9.458333333333334,0.0,0.0,0.06367054590708336,0.06367054590708336
baseline,xlsx:樣本2:Sheet15:2:1:8x10,8x10,0.3,0,64,19,0,0,0,0,8.958333333333334,0.0,0.0,0.06245404547910489,0.06245404547910489
