case_id,group_id,row,col,baseline_score,baseline_rank,score_gap_to_top1,score_gap_to_top3,candidate_count,row_norm,col_norm,dist_to_center,is_border,is_corner,module_consensus_top1,module_consensus_top3,module_consensus_top5,label,module_score_logic_rule,module_rank_logic_rule,module_score_pattern_model,module_rank_pattern_model,module_score_prior_model,module_rank_prior_model
default_2,default_2,8,8,0.35686,8,0.38859499999999997,0.26401,40,1.0,0.8,0.6,1,0,0,1,1,0,0.067474,19,0.681818,2,0.285714,6
default_2,default_2,3,6,0.356648,9,0.38880699999999996,0.264222,40,0.375,0.6,0.2,0,0,0,2,3,0,0.258503,3,0.204545,5,0.857143,2
default_2,default_2,4,7,0.337753,10,0.40770199999999995,0.283117,40,0.5,0.7,0.2,0,0,0,2,2,0,0.052174,21,0.363636,3,0.857143,2
default_2,default_2,6,7,0.309181,11,0.436274,0.31168900000000005,40,0.75,0.7,0.3,0,0,0,2,2,0,0.052174,21,0.363636,3,0.714286,3
default_2,default_2,8,1,0.303627,12,0.441828,0.31724300000000005,40,1.0,0.1,0.8,1,1,0,1,1,0,0.077249,16,0.681818,2,0.0,8
default_2,default_2,6,8,0.296407,13,0.449048,0.32446300000000006,40,0.75,0.8,0.4,0,0,0,1,2,0,0.091667,13,0.363636,3,0.571429,4
default_2,default_2,5,8,0.295519,14,0.449936,0.32535100000000006,40,0.625,0.8,0.3,0,0,0,2,2,0,0.018018,28,0.363636,3,0.714286,3
default_2,default_2,2,5,0.28853,15,0.45692499999999997,0.33234,40,0.25,0.5,0.3,0,0,0,1,2,0,0.159637,6,0.204545,5,0.714286,3
default_2,default_2,5,3,0.278234,16,0.467221,0.34263600000000005,40,0.625,0.3,0.3,0,0,0,1,2,0,0.065714,20,0.272727,4,0.714286,3
default_2,default_2,4,10,0.27525,17,0.470205,0.34562000000000004,40,0.5,1.0,0.5,1,0,0,1,2,0,0.110204,10,0.363636,3,0.428571,5
default_2,default_2,6,3,0.26823,18,0.47722499999999995,0.35264,40,0.75,0.3,0.4,0,0,0,1,2,0,0.021224,27,0.363636,3,0.571429,4
default_2,default_2,7,6,0.262936,19,0.482519,0.35793400000000003,40,0.875,0.6,0.3,0,0,0,1,2,1,0.027469,25,0.272727,4,0.714286,3
default_2,default_2,5,9,0.253081,20,0.492374,0.36778900000000003,40,0.625,0.9,0.4,0,0,0,0,2,0,0.142443,7,0.204545,5,0.571429,4
default_2,default_2,1,6,0.250072,21,0.49538299999999996,0.370798,40,0.125,0.6,0.4,1,0,0,0,2,0,0.134921,8,0.204545,5,0.571429,4
default_2,default_2,8,3,0.244634,22,0.500821,0.376236,40,1.0,0.3,0.6,1,0,0,1,1,0,0.10509,11,0.363636,3,0.285714,6
