variant,size_class,board_id,target_row,target_col,target_number,rank,top1_hit,top3_hit,top5_hit,top10_hit,spatial_applied,spatial_affected_count,spatial_total_penalty,topk_max_cluster_size,topk_adjacent_pair_rate
baseline,8x10,8x10_1,8,1,29,28,0,0,0,0,0,0,0.0,4.0,0.13333333333333333
baseline,8x10,8x10_1,6,5,28,38,0,0,0,0,0,0,0.0,4.0,0.13333333333333333
baseline,10x8,10x8_0,5,6,21,16,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_0,10,8,8,34,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,10x8,10x8_0,10,1,66,35,0,0,0,0,0,0,0.0,4.0,0.1111111111111111
baseline,10x8,10x8_0,5,7,39,1,1,1,1,1,0,0,0.0,3.0,0.1111111111111111
baseline,10x8,10x8_0,1,5,24,17,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_0,8,1,77,36,0,0,0,0,0,0,0.0,7.0,0.2222222222222222
baseline,10x8,10x8_0,9,2,20,6,0,0,0,1,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_0,3,7,75,29,0,0,0,0,0,0,0.0,8.0,0.2
baseline,10x8,10x8_0,9,4,15,22,0,0,0,0,0,0,0.0,2.0,0.044444444444444446
baseline,10x8,10x8_0,8,4,6,6,0,0,0,1,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_0,7,2,28,37,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_0,2,8,7,25,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_0,4,7,3,26,0,0,0,0,0,0,0.0,3.0,0.06666666666666667
baseline,10x8,10x8_0,1,4,14,19,0,0,0,0,0,0,0.0,2.0,0.044444444444444446
baseline,10x8,10x8_0,6,1,61,29,0,0,0,0,0,0,0.0,5.0,0.13333333333333333
baseline,10x8,10x8_0,10,3,46,25,0,0,0,0,0,0,0.0,4.0,0.15555555555555556
baseline,10x8,10x8_0,9,7,31,16,0,0,0,0,0,0,0.0,2.0,0.08888888888888889
baseline,10x8,10x8_0,7,6,57,10,0,0,0,1,0,0,0.0,6.0,0.1111111111111111
baseline,10x8,10x8_0,3,4,37,29,0,0,0,0,0,0,0.0,2.0,0.08888888888888889
baseline,10x8,10x8_0,7,8,48,22,0,0,0,0,0,0,0.0,4.0,0.15555555555555556
baseline,10x8,10x8_0,2,7,80,38,0,0,0,0,0,0,0.0,7.0,0.2222222222222222
baseline,10x8,10x8_0,5,3,11,15,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x8,10x8_0,5,5,71,36,0,0,0,0,0,0,0.0,5.0,0.13333333333333333
baseline,10x8,10x8_0,8,8,35,36,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_0,3,6,36,35,0,0,0,0,0,0,0.0,2.0,0.08888888888888889
baseline,10x8,10x8_0,10,5,63,21,0,0,0,0,0,0,0.0,4.0,0.1111111111111111
baseline,10x8,10x8_0,5,8,47,5,0,0,1,1,0,0,0.0,4.0,0.15555555555555556
baseline,10x8,10x8_0,8,3,53,28,0,0,0,0,0,0,0.0,5.0,0.17777777777777778
baseline,10x8,10x8_0,3,1,67,35,0,0,0,0,0,0,0.0,5.0,0.15555555555555556
baseline,10x8,10x8_0,7,1,74,6,0,0,0,1,0,0,0.0,7.0,0.2222222222222222
baseline,10x8,10x8_0,5,1,38,34,0,0,0,0,0,0,0.0,2.0,0.08888888888888889
baseline,10x8,10x8_0,1,1,58,39,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,10x8,10x8_0,2,4,12,10,0,0,0,1,0,0,0.0,3.0,0.1111111111111111
baseline,10x8,10x8_0,4,3,54,17,0,0,0,0,0,0,0.0,5.0,0.17777777777777778
baseline,10x8,10x8_0,8,6,10,23,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x8,10x8_0,6,5,41,25,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x8,10x8_0,7,4,52,17,0,0,0,0,0,0,0.0,5.0,0.17777777777777778
baseline,10x8,10x8_0,9,1,5,2,0,1,1,1,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_0,8,7,59,3,0,1,1,1,0,0,0.0,6.0,0.1111111111111111
baseline,10x8,10x8_0,2,5,29,8,0,0,0,1,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_1,7,6,64,13,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_1,9,5,59,18,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x8,10x8_1,8,1,7,14,0,0,0,0,0,0,0.0,4.0,0.06666666666666667
baseline,10x8,10x8_1,7,1,80,7,0,0,0,1,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_1,4,5,50,39,0,0,0,0,0,0,0.0,3.0,0.06666666666666667
baseline,10x8,10x8_1,1,5,35,17,0,0,0,0,0,0,0.0,4.0,0.13333333333333333
baseline,10x8,10x8_1,5,2,56,29,0,0,0,0,0,0,0.0,4.0,0.1111111111111111
baseline,10x8,10x8_1,4,1,19,21,0,0,0,0,0,0,0.0,4.0,0.08888888888888889
baseline,10x8,10x8_1,6,4,75,20,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_1,1,7,79,24,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_1,7,2,65,36,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_1,6,1,43,21,0,0,0,0,0,0,0.0,2.0,0.044444444444444446
baseline,10x8,10x8_1,10,8,21,36,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x8,10x8_1,8,5,51,1,1,1,1,1,0,0,0.0,3.0,0.06666666666666667
baseline,10x8,10x8_1,2,4,63,29,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_1,3,3,49,38,0,0,0,0,0,0,0.0,3.0,0.06666666666666667
baseline,10x8,10x8_1,2,6,38,19,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x8,10x8_1,6,7,17,28,0,0,0,0,0,0,0.0,4.0,0.1111111111111111
baseline,10x8,10x8_1,10,2,42,6,0,0,0,1,0,0,0.0,2.0,0.044444444444444446
baseline,10x8,10x8_1,4,8,52,26,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,10x8,10x8_1,10,5,20,31,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,10x8,10x8_1,10,7,24,15,0,0,0,0,0,0,0.0,2.0,0.044444444444444446
baseline,10x8,10x8_1,2,2,73,40,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_1,3,7,53,17,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,10x8,10x8_1,8,7,15,34,0,0,0,0,0,0,0.0,3.0,0.08888888888888889
baseline,10x8,10x8_1,7,5,34,21,0,0,0,0,0,0,0.0,4.0,0.13333333333333333
baseline,10x8,10x8_1,9,1,45,34,0,0,0,0,0,0,0.0,2.0,0.044444444444444446
baseline,10x8,10x8_1,7,3,67,29,0,0,0,0,0,0,0.0,2.0,0.044444444444444446
baseline,10x8,10x8_1,8,2,69,34,0,0,0,0,0,0,0.0,2.0,0.06666666666666667
baseline,10x8,10x8_1,3,4,13,10,0,0,0,1,0,0,0.0,4.0,0.1111111111111111
baseline,10x8,10x8_1,8,6,28,14,0,0,0,0,0,0,0.0,3.0,0.13333333333333333
baseline,10x8,10x8_1,1,6,12,2,0,1,1,1,0,0,0.0,4.0,0.1111111111111111
baseline,10x8,10x8_1,9,4,58,10,0,0,0,1,0,0,0.0,3.0,0.08888888888888889
baseline,10x8,10x8_1,3,2,76,32,0,0,0,0,0,0,0.0,3.0,0.1111111111111111
baseline,10x8,10x8_1,4,3,68,19,0,0,0,0,0,0,0.0,2.0,0.044444444444444446
baseline,10x8,10x8_1,5,6,6,23,0,0,0,0,0,0,0.0,2.0,0.044444444444444446
